真实,预测1,预测2,预测3,预测4,预测5,预测6,预测7,预测8,预测均值,MSE,MAPE,date
3487.497,3459.04,3459.024,3473.097,3477.696,3452.569,3455.493,3441.431,3435.234,3456.698,1127.7063629999923,0.008831262077071281,2018/2/5
3370.652,3520.668,3531.029,3536.905,3516.06,3549.248,3579.997,3588.687,3570.026,3549.0774999999994,32502.530274999976,0.05293501079316404,2018/2/6
3309.259,3334.788,3359.521,3375.193,3360.892,3373.945,3459.026,3456.309,3462.595,3397.783625,10242.665226374998,0.02675058827368907,2018/2/7
3262.05,3328.862,3316.694,3376.418,3459.026,3455.493,3471.949,3492.893,3507.743,3426.1347499999997,31807.589928499936,0.05030111432994583,2018/2/8
3129.85,3210.236,3252.595,3291.599,3281.047,3246.531,3231.366,3282.926,3271.526,3258.47825,17246.97757500001,0.041097257057047476,2018/2/9
3154.125,3183.741,3191.133,3114.795,3122.435,3085.335,3141.593,3157.704,3164.036,3145.0965,1224.744600749998,0.009212380612689737,2018/2/12
3184.958,3164.035,3162.911,3136.531,3118.702,3102.873,3108.742,3153.432,3168.014,3139.405,2685.835962000001,0.014302543393036913,2018/2/13
3199.158,3191.193,3114.686,3122.983,3141.593,3156.95,3141.592,3154.327,3141.592,3145.6145000000006,3341.7927994999814,0.016736747606713964,2018/2/14
3268.558,3114.687,3137.416,3114.863,3102.875,3091.676,3151.74,3167.795,3162.992,3130.5054999999993,19772.320986500006,0.04223651530736185,2018/2/22
3289.024,3211.76,3292.448,3275.012,3248.478,3280.886,3296.541,3316.695,3306.182,3278.50025,1125.5721587499925,0.007438756907824311,2018/2/23
3329.573,3235.303,3239.96,3282.928,3275.016,3245.201,3203.837,3174.125,3116.351,3221.5901249999997,14328.177876374966,0.032431448416959135,2018/2/26
3292.067,3334.964,3375.118,3379.488,3434.336,3436.398,3438.371,3373.947,3459.026,3403.956,14179.55760874999,0.03398746137305224,2018/2/27
3259.408,3359.51,3390.281,3372.616,3435.212,3459.64,3473.097,3479.836,3565.934,3442.01575,37396.72307725005,0.05602482107180204,2018/2/28
3273.754,3248.476,3241.187,3302.408,3286.061,3275.011,3245.201,3203.866,3174.125,3247.041875,2287.403097624995,0.011383453063363948,2018/3/1
